team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,39,47,1.42,75.76,11.07517225350205,35.64,40.12,59,85
LOUISVILLE SLUGGERS,50,7,38,2.66,68.62,10.648829965753139,40.16,28.46,59,78
BLUE SOCKS,50,4,35,3.02,67.54,10.326852388092082,29.28,38.26,53,74
NATIONAL PASTIME,50,1,31,3.34,66.46,10.438946119739173,30.06,36.4,57,74
HOOSIERS,50,0,11,4.28,63.18,10.232004607595456,38.48,24.7,54,71
BIG RED MACHINE,50,0,0,5.86,55.96,9.757616387506149,28.42,27.54,50,62
MELONHEADS,50,0,1,5.86,55.84,9.78469604474486,24.28,31.56,46,65
FREE BIRDS,50,0,0,7.56,44.2,9.191582864655954,14.82,29.38,38,51
ERIE LAKERS,50,0,0,8.52,38.42,8.140222371667566,27.26,11.16,29,52
FREE AT LAST,50,0,0,9.26,31.2,8.246166816691051,15.18,16.02,25,54
