Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary,sgpar_random_delta,sgpar_randomized
Trea Turner,PHI,hitter,25.89733644870233,644,591,167,19,92,73,28,0.28252,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.17695149908617,1.3637185335744366,0,0,0,0,0,0,1.3637185335744366,0,0,0,0,1,0,0,1,1,0,0,SS,0.349246920629834,0.349246920629834,0.0955761814338752,0.0504993318837341,0.13625174132422654,0.05775377010209177,0.00916589588590633,0,0,0,0,0,0.22071909525376937,0.17795002663792017,0.27475557754637414,0.1732613103062753,0.16778560320026367,0,0,0,0,0,1.0144716129446028,0,1.0144716129446028,1.0144716129446028,3.6230248306997743,2.7577546150948145,2.68837459634015,8.845553822152889,6.157696017737283,0,0,0,0,0,24.07240388202491,24.07240388202491,Blue Socks,IL,2,30,0,1.0144716129446028
Luis Robert Jr.,NYM,hitter,18.997214771523097,567,515,121,21,69,76,29,0.235235,NA,NA,NA,NA,NA,NA,0.23722145751573345,0.2524966594186705,0.42789803060500897,0.23926561899438015,-0.0260119845321193,1.1308697820016738,0,0,0,0,0,0,1.1308697820016738,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.1003893704269481,0.13706961511299254,0.21282296785354393,0.17821163345788313,-2.4017015129527977e-4,0,0,0,0,0,0.6282534167000724,0,0.6282534167000724,0.6282534167000724,1.6478555304740414,2.136129599397213,2.0707750269106557,9.098283931357251,-0.00881419356609006,0,0,0,0,0,14.944229894573072,14.944229894573072,Blue Socks,Bench,1,21,0,0.6282534167000724
Dylan Crews,WSN,hitter,17.80593075472719,595,539,131,18,72,69,26,0.243556,NA,NA,NA,NA,NA,NA,0.24753543392946095,0.21642570807314615,0.38848636989138974,0.21451400323634084,0.00596589822195488,1.0729274133522926,0,0,0,0,0,0,1.0729274133522926,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.1107033468406756,0.1009986637674682,0.1734113071399247,0.15346001769984385,0.0317377126027789,0,0,0,0,0,0.5703110480506912,0,0.5703110480506912,0.5703110480506912,1.817155756207675,1.7405500439532848,1.52583423035522,7.834633385335414,1.1647673148271334,0,0,0,0,0,14.082940730678729,14.082940730678729,Blue Socks,Util,Opt,1,0,0.5703110480506912
Jurickson Profar,ATL,hitter,17.243474851765328,644,556,141,19,82,74,9,0.252943,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.22844935852165427,0.4166375561154035,0.07425484727411799,0.04477704162222803,1.0460341588419564,0,0,0,0,0,0,1.0460341588419564,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.1450832682197674,0.1130223142159763,0.20156249336393844,0.01320086173762098,0.07054885600305205,0,0,0,0,0,0.5434177935403552,0,0.5434177935403552,0.5434177935403552,2.3814898419864567,2.0231068692703764,1.7074811625403654,0.6739469578783155,2.589128038282321,0,0,0,0,0,9.375152869957834,9.375152869957834,Blue Socks,OF,Opt,2,0,0.5434177935403552
Mickey Moniak,COL,hitter,16.275647659604168,483,451,120,21,64,67,9,0.266266,NA,NA,NA,NA,NA,NA,0.22003149682618753,0.2524966594186705,0.37722589540178425,0.07425484727411799,0.08078640009706016,1.0047952990178204,0,0,0,0,0,0,1.0047952990178204,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.08319940973740217,0.13706961511299254,0.1621508326503192,0.01320086173762098,0.10655821447788416,0,0,0,0,0,0.5021789337162191,0,0.5021789337162191,0.5021789337162191,1.3656884875846504,1.6275273138264483,2.0707750269106557,0.6739469578783155,3.910663849773206,0,0,0,0,0,9.648601635973275,9.648601635973275,Blue Socks,OF,2,1,0,0.5021789337162191
Jhoan Duran,PHI,pitcher,19.375782188338302,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67149,1.09864,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.071857962342165,0.05474116887020112,0.9347471325530896,0.9347471325530896,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.0294358937591817,0.36835580419953823,-0.00855472129849971,0.05266856835195839,0.04452496000247918,0,0.4864305050146578,0.4864305050146578,0.4864305050146578,0,0,0,0,0,1.571290009699322,40.40816326530614,-0.22561255020350943,3.686857443008406,3.1685526753949222,48.60925084320529,48.60925084320529,Blue Socks,P,2,17,0,0.4864305050146578
J.T. Realmuto,PHI,hitter,14.371374040094896,500,454,114,15,56,58,7,0.251363,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.1803547567276218,0.3265537601985595,0.05775377010209177,0.03125422825229279,0.78844407500348,0,0,0,0,0,0,0.78844407500348,1,0,0,0,0,0,0,0,1,0,0,C,0.30255876249911806,0.30255876249911806,0.08319940973740216,0.06011825224254059,0.13850383622214762,0.01650107717202622,0.00423618712500142,0,0,0,0,0,0.10932814998551192,0.12023650448508122,0.18804992397641185,0.04125269293006554,0.02701804112729137,0,0,0,0,0,0.4858853125043619,0,0.4858853125043619,0.4858853125043619,1.794582392776524,1.8874795931181725,1.8164693218514532,2.106084243369735,0.9915563736300514,0,0,0,0,0,8.596171924745937,8.596171924745937,Blue Socks,C,2,13,0,0.4858853125043619
Nolan Arenado,ARI,hitter,9.251567026870138,595,543,138,17,64,75,3,0.253506,NA,NA,NA,NA,NA,NA,0.22003149682618753,0.20440205762463803,0.42226779336020626,0.02475161575803933,0.04599240783642251,0.9174453714054936,0,0,0,0,0,0,0.9174453714054936,0,0,0,1,0,0,1,0,1,0,0,3B,0.4471606183996464,0.4471606183996464,0.11757933111649396,0.08416555313955683,0.1869238765274513,0.04620301608167342,0.01228884153447088,0,0,0,0,0,0.10245216570969357,0.1202365044850812,0.23534391683275496,-0.02145140032363408,0.03370356630195163,0,0,0,0,0,0.4702847530058473,0,0.4702847530058473,0.4702847530058473,1.6817155756207678,2.3621750596508866,1.816469321851453,-1.0951638065522624,1.2369137282497542,0,0,0,0,0,6.002109878820598,6.002109878820598,Blue Socks,3B,2026,33,0,0.4702847530058473
Aaron Nola,PHI,pitcher,11.726286926665514,NA,NA,NA,NA,NA,NA,NA,NA,180,11,0,177,4.115,1.20929,0,0,0,0,0,0,0.26982902612583237,0,0.4884469902691774,0.06880099948311952,0.08978368303320108,0.9168606989113304,0.9168606989113304,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.12755553962312077,-0.03627746556510604,0.24808691765649177,0.04961160549291291,0.07956747416547914,0,0.46854407137289855,0.46854407137289855,0.46854407137289855,0,0,0,0,0,6.80892337536373,-3.9795918367346967,6.542763955901777,3.472866696296699,5.66230117056607,18.50726336139358,18.50726336139358,Blue Socks,P,2,20,0,0.46854407137289855
Tommy Edman,LAD,hitter,10.79615766598864,504,461,115,15,63,60,10,0.250309,NA,NA,NA,NA,NA,NA,0.21659350468827832,0.1803547567276218,0.337814234688165,0.08250538586013109,0.02814040299546882,0.845408284959665,0,0,0,0,0,0,0.845408284959665,0,0,1,0,0,1,0,1,1,0,0,2B,0.4277261360108411,0.4277261360108411,0.1107033468406756,0.07214190269104871,0.16327688009927974,0.07920517042572585,0.00239883595411119,0,0,0,0,0,0.10589015784760272,0.10821285403657308,0.17453735458888528,0.00330021543440524,0.02574156704135763,0,0,0,0,0,0.41768214894882394,0,0.41768214894882394,0.41768214894882394,1.7381489841986453,1.7518523169659688,1.6348223896663077,0.16848673946957876,0.9447100456628216,0,0,0,0,0,6.238020475963322,6.238020475963322,Blue Socks,SS,2026,29,0,0.41768214894882394
