team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,100,0,8,4.97,61.24,10.217354567223099,29.15,32.09,50,71,100,2,47,3.69,65.96,10.390384641997837,29.83,36.13,58,75,4.719999999999992,-1.2799999999999998,2,39,0.6799999999999997,4.039999999999999
LOUISVILLE SLUGGERS,100,10,72,2.95,68.53,10.698296675772129,39.92,28.61,58,77,100,22,85,2.33,70.18,10.70295116741622,40.87,29.31,59,80,1.6500000000000057,-0.6200000000000001,12,13,0.9499999999999957,0.6999999999999993
WESTSIDE MARAUDERS,100,47,94,1.74,73.44,11.035463526906842,33.57,39.87,64,81,100,77,98,1.3,74.97,11.032991617718928,34.77,40.2,66,85,1.5300000000000011,-0.43999999999999995,30,4,1.2000000000000028,0.3300000000000054
ERIE LAKERS,100,0,0,8.72,34.55,8.07467835642148,21.49,13.059999999999999,28,44,100,0,0,8.51,35.74,8.10771924918784,22.43,13.31,29,47,1.1900000000000048,-0.21000000000000085,0,0,0.9400000000000013,0.2500000000000018
NATIONAL PASTIME,100,0,25,4.24,63.89,10.432111483673518,28.86,35.03,55,71,100,1,33,4.05,64.62,10.447447316176376,29.24,35.38,56,72,0.730000000000004,-0.1900000000000004,1,8,0.379999999999999,0.3500000000000014
BIG RED MACHINE,100,0,0,6.45,52.65,9.73000555610855,25,27.65,45,60,100,0,0,6.39,53.2,9.743706486351726,25.57,27.63,46,62,0.5500000000000043,-0.0600000000000005,0,0,0.5700000000000003,-0.019999999999999574
FREE AT LAST,100,0,0,9.14,30.82,8.151247979016077,16.48,14.34,23,42,100,0,0,9.08,30.92,8.158936824743629,17.07,13.85,21,43,0.10000000000000142,-0.0600000000000005,0,0,0.5899999999999999,-0.4900000000000002
FREE BIRDS,100,0,0,7.53,43.51,9.215616421326564,14.95,28.56,38,51,100,0,0,7.48,43.4,9.218544511896896,14.67,28.73,32,51,-0.10999999999999943,-0.04999999999999982,0,0,-0.27999999999999936,0.1700000000000017
HOOSIERS,100,2,35,4.08,64.49,10.310244430884614,40.42,24.07,55,76,100,1,31,4.16,64.32,10.309287275645328,40.74,23.58,54,76,-0.1700000000000017,0.08000000000000007,-1,-4,0.3200000000000003,-0.490000000000002
MELONHEADS,100,50,95,1.68,73.47,10.793994889908172,33.08,40.39,62,83,100,4,45,3.79,65.3,10.320899628118553,28.67,36.63,56,75,-8.170000000000002,2.1100000000000003,-46,-50,-4.409999999999997,-3.759999999999998
