team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,213,11.12093593722394,7677,6828,1739,260,964,944,134,0.2546865846514353,1357,85,32,1367,590.2893555555555,1668.576022,3.9149625644804713,1.2296065011053794,10,8,9,4,6,10,4,10,6,8,37,38,75,1,1
BLUE SOCKS,23,221,10.52384917548797,7792,7029,1807,244,950,943,174,0.2570778204581021,1083,68,83,1080,460.85060111111113,1331.80055,3.8297833887349957,1.2297327331486612,5,7,8,9,8,5,9,4,9,7,37,34,71,2,1
NATIONAL PASTIME,23,190,10.486240909307293,7702,6932,1767,256,932,939,149,0.25490478938257355,1229,78,52,1203,536.4313777777777,1509.88769,3.928301383238405,1.228549788445891,9,5,7,5,7,8,7,7,5,9,33,36,69,3,1
LOUISVILLE SLUGGERS,23,165,10.58044025291048,7284,6553,1712,244,939,892,154,0.2612543873035251,1089,68,85,1149,446.80863555555555,1343.1228500000002,3.6926333516988064,1.2333543158861342,5,6,3,6,10,5,10,6,10,6,30,37,67,4,1
HOOSIERS,23,190,10.293548706390926,7989,7095,1792,256,1008,968,235,0.2525722339675828,1074,67,33,998,457.1687933333334,1328.5021599999998,3.8310234078212293,1.2369666294227186,9,10,10,10,2,4,5,2,8,5,41,24,65,5,1
MELONHEADS,23,223,10.251661695159122,7283,6488,1642,252,924,911,165,0.2530826140567201,1360,84,0,1326,578.9506511111111,1666.63809,3.831291073529412,1.2254691838235294,8,3,4,8,4,9,2,8,7,10,27,36,63,6,1
BIG RED MACHINE,23,151,9.714654749561314,7521,6699,1693,251,931,912,126,0.2527242872070458,1164,71,59,1119,508.5931455555555,1471.63888,3.932421228522336,1.2642945704467354,7,4,5,2,3,7,8,5,4,3,21,27,48,7,1
FREE AT LAST,22,151,8.153483632396854,7788,6837,1687,250,974,918,160,0.24674564867632,891,50,35,868,405.2505722222223,1134.4558600000003,4.093440123456791,1.2732389001122337,6,9,6,7,1,3,6,1,2,2,29,14,43,8,1
FREE BIRDS,23,188,9.095291867189456,7256,6399,1626,226,883,866,127,0.2541022034692921,1384,85,0,1348,621.5240388888889,1742.8583899999999,4.041702565028902,1.259290744219653,3,1,1,3,5,10,2,9,3,4,13,28,41,9,1
ERIE LAKERS,23,168,8.132649362756256,7153,6384,1662,236,897,879,126,0.26033834586466165,1168,69,22,1009,543.2973966666666,1546.03098,4.186366926369863,1.3236566609589042,4,2,2,2,9,6,3,3,1,1,19,14,33,10,1
WESTSIDE MARAUDERS,23,213,11.083105540101252,7645,6840,1764,255,963,944,158,0.2578947368421053,1336,83,32,1325,576.6802366666666,1650.931502,3.884821953592814,1.2357271721556886,6,8,8,7,8,10,6,10,7,8,37,41,78,1,2
LOUISVILLE SLUGGERS,23,165,10.73935857733685,7753,7002,1826,261,981,953,164,0.2607826335332762,1068,64,79,1046,467.43907111111116,1337.06106,3.93909329588015,1.2519298314606742,8,9,9,8,10,3,10,2,4,6,44,25,69,2,2
BLUE SOCKS,23,221,10.228537989306798,7635,6894,1774,225,933,910,177,0.2573252103278213,1279,80,29,1264,551.9603155555556,1588.0149399999998,3.884005347928069,1.2416066770914775,3,5,5,9,7,9,5,9,8,7,29,38,67,3,2
HOOSIERS,23,190,10.459723173622395,7820,6930,1728,272,991,976,211,0.24935064935064935,1154,72,25,1075,486.0577311111111,1468.39712,3.790744870017331,1.2724411785095322,10,10,10,10,3,5,3,4,10,2,43,24,67,3,2
MELONHEADS,23,223,10.33476825713986,7503,6672,1679,257,952,928,164,0.25164868105515587,1293,80,22,1247,559.2645588888889,1583.00239,3.89279275328693,1.2242864578499615,7,7,7,8,4,9,2,7,6,9,33,33,66,4,2
NATIONAL PASTIME,23,190,10.417578228141123,7587,6831,1755,242,915,906,152,0.25691699604743085,1263,79,52,1245,541.207051111111,1543.91755,3.85658231195566,1.2224208630245446,5,4,4,6,5,8,7,6,9,10,24,40,64,5,2
BIG RED MACHINE,23,151,9.789869829163745,7559,6687,1662,269,946,923,116,0.24854194706146254,1203,74,59,1136,520.6581211111111,1520.5951299999997,3.8951979135494597,1.2640026018287611,9,6,6,2,2,6,9,5,5,3,25,28,53,6,2
ERIE LAKERS,23,168,8.103425360610645,7172,6386,1662,236,901,881,126,0.2602568117757595,909,56,55,909,406.5159844444444,1139.6689700000002,4.024910737073707,1.2537612431243126,4,2,3,3,9,2,8,1,3,5,21,19,40,7,2
FREE BIRDS,23,188,9.13054692202853,7312,6465,1661,218,887,868,138,0.2569218870843001,1275,78,27,1261,573.7446211111111,1604.3055800000002,4.049962031372549,1.25827888627451,2,1,2,4,6,7,4,8,2,4,15,25,40,7,2
FREE AT LAST,22,151,8.19874809123536,7256,6351,1570,236,911,862,142,0.24720516454101715,1143,66,21,1062,526.7972588888889,1475.92987,4.148009912510936,1.2912772265966754,4,3,1,5,1,4,1,3,1,1,14,10,24,8,2
WESTSIDE MARAUDERS,23,213,11.003217777717591,7442,6630,1713,252,945,926,147,0.2583710407239819,1362,85,32,1362,590.1179455555555,1666.1867419999999,3.899457790014684,1.2233382834067548,7,7,7,5,8,10,4,10,7,10,34,41,75,1,3
HOOSIERS,23,190,10.278969762803332,7956,7071,1771,270,1002,983,194,0.2504596238155848,1056,65,63,978,456.04903444444443,1326.51582,3.8867815435606063,1.2561702840909093,10,10,10,10,3,5,8,3,8,4,43,28,71,2,3
LOUISVILLE SLUGGERS,23,165,10.721005330449772,7580,6806,1788,240,973,907,185,0.26270937408169265,1041,66,72,1087,436.3880711111111,1296.94727,3.7728075312199807,1.245866733909702,4,9,4,8,10,6,9,4,9,6,35,34,69,3,3
BLUE SOCKS,23,221,10.514901330190641,7726,6980,1802,236,944,934,154,0.2581661891117478,1235,78,40,1228,505.39421555555555,1518.74563,3.6830347692307694,1.2297535465587044,2,6,9,6,7,8,6,7,10,7,30,38,68,4,3
NATIONAL PASTIME,23,190,10.356597651415697,7611,6831,1739,260,930,932,133,0.2545747328356024,1125,72,82,1141,489.0636222222222,1378.69853,3.9125089777777773,1.2255098044444444,9,5,8,4,5,7,10,5,6,9,31,37,68,4,3
MELONHEADS,23,223,10.242516697542792,7398,6594,1659,248,930,903,187,0.2515923566878981,1353,84,0,1329,593.7781455555557,1658.30233,3.949743762010349,1.2256484331116038,6,5,3,9,4,9,2,9,4,8,27,32,59,5,3
BIG RED MACHINE,23,151,9.743484576023707,7465,6651,1656,259,916,917,120,0.2489851150202977,1186,72,59,1151,517.9128855555556,1478.36458,3.930198962900506,1.2465131365935918,8,4,5,2,2,7,7,6,5,5,21,30,51,6,3
FREE BIRDS,23,188,9.156375955134143,7340,6469,1650,226,896,870,129,0.25506260627608596,1399,85,0,1323,625.0589777777777,1774.9941400000002,4.021108506075768,1.2687592137240888,1,2,1,3,6,10,2,8,3,3,13,26,39,7,3
FREE AT LAST,22,151,8.20479363961445,7774,6839,1694,247,966,920,172,0.24769703172978505,985,57,16,896,448.35509888888896,1288.0655499999998,4.096645573604062,1.3076807614213195,5,8,6,7,1,3,3,1,2,1,27,10,37,8,3
ERIE LAKERS,23,168,8.126924600256194,7153,6373,1655,237,900,880,129,0.2596893142946807,1079,62,37,975,503.58580666666677,1395.06572,4.200437683039852,1.292924670991659,3,3,2,3,9,4,5,2,1,2,20,14,34,9,3
LOUISVILLE SLUGGERS,23,165,10.687952148435935,7617,6828,1768,260,971,925,160,0.2589338019917985,1122,71,47,1127,476.5657988888889,1383.39156,3.8227203119429594,1.2329693048128343,9,9,8,6,9,4,6,5,9,7,41,31,72,1,4
WESTSIDE MARAUDERS,23,213,11.09101826766302,7666,6838,1769,252,961,937,146,0.25870137467095644,1349,84,32,1356,582.7013888888889,1665.976622,3.887555596738325,1.2349715507783543,6,8,9,4,8,9,4,10,6,6,35,35,70,2,4
NATIONAL PASTIME,23,190,10.453226475586218,7730,6961,1794,242,930,917,152,0.2577215917253268,1254,78,52,1219,537.6458122222222,1544.32944,3.858702001594896,1.2315226794258374,5,7,7,5,7,8,8,7,7,8,31,38,69,3,4
