team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,268,11.07856144738481,7470,6672,1713,270,953,945,156,0.2567446043165468,1276,82,46,1281,547.4576755555555,1561.094936,3.8613785893416925,1.22342863322884,9,7,8,6,6,8,6,8,7,8,36,37,73,1,1
LOUISVILLE SLUGGERS,23,220,10.603981860032828,7720,6934,1795,253,976,933,168,0.2588693394865878,1021,65,76,1050,431.67206000000004,1255.6341799999998,3.805140587659158,1.2298082076395689,7,9,7,7,10,2,9,3,9,7,40,30,70,2,1
MELONHEADS,22,270,10.831315660134027,7373,6569,1660,247,932,904,180,0.25270208555335666,1381,86,0,1378,588.546788888889,1673.0357099999999,3.8355692251991313,1.2114668428674873,6,5,4,9,4,10,3,10,8,10,28,41,69,3,1
NATIONAL PASTIME,23,269,10.360788450701856,7475,6706,1730,236,913,889,146,0.2579779302117507,1184,75,79,1203,494.4346966666667,1437.0920700000001,3.7583718496621628,1.2137601942567569,3,3,3,4,9,7,10,7,10,9,22,43,65,4,1
HOOSIERS,23,228,10.256665540095879,7935,7032,1765,265,1007,975,208,0.25099544937428897,1209,74,8,1140,532.0931444444444,1527.9970899999998,3.960991149710504,1.2638520181968569,8,10,10,10,2,6,4,5,4,4,40,23,63,5,1
BLUE SOCKS,23,266,10.068471503852022,7729,6988,1800,224,938,915,178,0.2575844304522038,1165,73,61,1147,506.0606377777778,1450.85978,3.9094813218884124,1.2453732017167383,1,6,6,8,8,5,8,6,6,6,29,31,60,6,1
BIG RED MACHINE,23,210,9.790211003947183,7784,6911,1737,271,969,959,117,0.25133844595572274,1169,69,49,1102,509.1976622222222,1486.06804,3.920255739948674,1.271230145423439,10,8,9,1,3,4,7,4,5,3,31,23,54,7,1
FREE BIRDS,23,251,9.330812915692794,7396,6556,1673,240,898,904,121,0.25518608907870655,1340,83,0,1303,602.3908322222222,1686.1968200000001,4.045908574626866,1.2583558358208957,4,2,4,2,5,9,3,9,3,5,17,29,46,8,1
ERIE LAKERS,23,203,7.961496311269588,7349,6504,1674,246,931,906,122,0.257380073800738,962,55,45,894,434.38643444444443,1254.4820900000002,4.063906351351352,1.3040354365904367,5,4,5,3,7,1,5,1,2,1,24,10,34,9,1
FREE AT LAST,22,220,8.083427743771377,7060,6200,1533,228,884,839,152,0.24725806451612903,1145,66,49,1009,524.7052955555556,1493.0226900000002,4.124321100436681,1.3039499475982534,2,1,2,5,1,3,7,2,1,2,11,15,26,10,1
WESTSIDE MARAUDERS,23,266,11.11203689934988,7729,6918,1802,256,976,949,134,0.2604799074877132,1262,78,49,1293,540.0846088888887,1535.3141660000001,3.8516335023771777,1.2165722393026943,8,9,9,3,9,9,8,9,7,8,38,41,79,1,2
HOOSIERS,23,231,10.268493957111936,7935,7032,1765,265,1007,975,208,0.25099544937428897,1192,73,16,1123,522.2757422222223,1515.8732599999998,3.9433571140939603,1.2717057550335569,10,10,10,10,2,7,3,5,5,4,42,24,66,2,2
LOUISVILLE SLUGGERS,23,213,10.504495103252978,7532,6814,1812,239,959,907,157,0.26592309950102727,1162,71,47,1116,493.5176,1453.3128199999999,3.822425473321859,1.250699500860585,5,8,6,7,10,5,7,4,8,6,36,30,66,2,2
NATIONAL PASTIME,23,262,10.270749434747309,7412,6621,1673,246,895,888,138,0.2526808639178372,1117,72,114,1128,462.37788111111115,1349.5930700000001,3.7255156042972253,1.2082301432408238,7,2,4,5,5,6,10,6,9,9,23,40,63,3,2
BIG RED MACHINE,23,209,9.755887104257367,7559,6704,1691,261,951,937,136,0.25223747016706444,1258,75,27,1159,553.7158244444445,1584.52992,3.961400969793323,1.259562734499205,9,7,8,4,4,8,5,7,4,5,32,29,61,4,2
BLUE SOCKS,23,268,10.051613555820092,7635,6870,1753,229,934,909,201,0.2551673944687045,1069,68,78,1104,464.6511222222222,1330.89853,3.9119364826941063,1.244993947614593,3,6,7,9,7,4,9,3,6,7,32,29,61,4,2
MELONHEADS,19,270,10.35300676280545,6497,5796,1478,225,840,815,173,0.2550034506556246,1165,75,19,1187,474.8356322222223,1376.4971699999999,3.668258103004292,1.1815426351931329,2,1,2,8,6,8,4,8,10,10,19,40,59,5,2
FREE BIRDS,23,231,9.22087661177443,7417,6588,1654,240,897,905,120,0.2510625379477838,1397,85,0,1319,629.1261033333334,1783.6539700000003,4.053067236936292,1.2767744953471727,6,3,5,2,3,10,1,10,3,3,19,27,46,6,2
ERIE LAKERS,23,200,8.217288175767486,7328,6500,1692,246,919,907,114,0.2603076923076923,1076,63,10,1005,493.19143888888885,1395.3583099999996,4.12520720260223,1.2968014033457245,7,5,6,1,8,2,2,1,2,2,27,9,36,7,2
FREE AT LAST,22,222,8.163299577741435,7326,6433,1586,237,904,860,150,0.24654127156847505,1092,64,41,1009,512.3209144444444,1421.15977,4.222425119047618,1.3014283608058608,4,4,3,6,1,3,6,2,1,1,18,13,31,8,2
