team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,100,63,95,1.57,73.44,10.980078129463784,33.4,40.04,54,82
LOUISVILLE SLUGGERS,100,27,88,2.21,70.21,10.685913274734537,41.17,29.04,60,78
HOOSIERS,100,4,47,3.66,64.6,10.27681891089245,40.27,24.33,56,75
NATIONAL PASTIME,100,0,48,3.71,64.75,10.388579220505028,27.57,37.18,55,72
MELONHEADS,100,10,42,3.97,63.5,10.597598927476605,24.94,38.56,49,80
BLUE SOCKS,100,0,11,4.85,60.45,10.10521823466159,30.07,30.38,49,70
BIG RED MACHINE,100,0,1,6.08,55.74,9.742545178602985,27.36,28.38,46,64
FREE BIRDS,100,0,0,7.51,45.09,9.194059544094523,16.16,28.93,39,55
ERIE LAKERS,100,0,0,8.55,37.38,8.024870461434858,24,13.38,28,49
FREE AT LAST,100,0,0,9.1,31.99,8.101900434050233,18.28,13.71,22,47
