team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,100,68,91,1.64,73.6,11.05567543395261,33.66,39.94,58,82
LOUISVILLE SLUGGERS,100,29,93,2.05,71.14,10.770835893689059,41.47,29.67,63,80
MELONHEADS,100,10,63,3.05,67.09,10.352386554478434,29.7,37.39,60,77
NATIONAL PASTIME,100,2,42,3.73,65.14,10.446749634481085,28.18,36.96,53,74
HOOSIERS,100,1,35,3.83,64.97,10.37108182181618,40,24.97,58,73
BIG RED MACHINE,100,0,1,5.56,57.24,9.793471561512206,28.46,28.78,49,65
BLUE SOCKS,100,0,0,6.66,49.58,9.338397765862375,22.01,27.57,43,63
FREE BIRDS,100,0,0,7.46,45.39,9.223579209205347,16.75,28.64,38,55
ERIE LAKERS,100,0,0,8.47,39.33,8.175859354844116,24.97,14.36,30,50
FREE AT LAST,100,0,0,9.12,33.93,8.164913890388044,17.67,16.259999999999998,25,48
