Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",157,679,579,180,105,34,2,40,135,106,82,4,109,11,4,3,,53,12,0.311275,0.120854,0.16052,0.752887,0.403748,0.583816,0.416177,0.987563,0.27254,6.75837,0.323232,1.62908,3.92084,137.884,55.152,162.72,5.54992,0.710667,58.30855655670166,-6.764332950115204,7.44593,1,,,,"18401"
"Aaron Judge","NYY",152,658,547,148,78,23,0,46,107,116,101,11,177,4,5,1,,7,2,0.270583,0.152987,0.268542,0.569694,0.384937,0.568825,0.397434,0.953762,0.298242,3.13375,0.308969,0.0523595,-0.800305,123.377,43.2036,158.579,-0.747946,2.64826,45.43695640563965,-0.8017370700836182,6.68021,11.369999885559082,,,,"15640"
"Juan Soto","NYY",157,679,537,150,86,26,1,36,111,105,133,11,110,4,4,2,,11,4,0.279636,0.196092,0.162551,1.20634,0.423399,0.536265,0.406668,0.959664,0.256629,3.84246,0.288705,-0.855306,-1.18363,132.522,49.7897,164.979,-2.03894,-1.34562,50.827221155166626,-10.720615148544312,6.29977,10.6899995803833,,,,"20123"
"Mookie Betts","LAD",157,679,577,161,92,35,2,32,115,96,85,3,107,9,5,3,,13,3,0.278751,0.125156,0.157605,0.794109,0.376678,0.513681,0.379993,0.890359,0.23493,5.03117,0.290415,0.940845,-0.207509,117.48,34.7473,142.253,0.733336,-2.86977,36.27579343318939,0.10523176193237305,5.93389,5,,,,"13611"
"Fernando Tatis Jr.","SDP",156,672,596,163,89,34,2,37,107,103,64,1,148,5,5,3,,27,6,0.272997,0.0954769,0.220537,0.43293,0.345749,0.525296,0.368694,0.871044,0.252298,5.81622,0.301834,1.13625,1.65748,109.962,28.0829,137.518,2.79373,7.751,34.02744722366333,0.5510044097900391,5.73037,7.949999809265137,,,,"19709"
"Yordan Alvarez","HOU",141,609,516,154,82,32,2,38,101,111,77,7,120,10,5,1,,1,1,0.29865,0.126178,0.197752,0.638065,0.396127,0.591772,0.412537,0.987899,0.293122,3.15009,0.319614,-0.28057,-1.3546,121.828,47.6252,167.839,-1.63517,-0.00822414,47.86734676361084,-12.533223756588995,5.58671,16.420000076293945,,,,"19556"
"Julio Rodríguez","SEA",156,672,607,169,102,33,2,33,101,99,50,5,155,10,3,2,,33,10,0.278443,0.0737612,0.230105,0.320554,0.340888,0.500635,0.356619,0.841524,0.222193,5.89342,0.322435,1.1871,1.14389,103.223,21.3439,132.509,2.33099,1.70459,28.50692868232727,3.9045910835266113,5.50872,3.059999942779541,,,,"23697"
"Adley Rutschman","BAL",146,586,500,134,83,32,1,18,80,68,75,3,90,5,4,2,,3,1,0.268875,0.128234,0.154423,0.830405,0.367157,0.447468,0.353129,0.814625,0.178593,3.03981,0.293674,0.622864,-1.21619,88.2544,16.9024,128.108,-0.59333,2.31553,19.129164397716522,8.765530347824097,5.30194,53.77000045776367,,,,"26288"
"José Ramírez","CLE",154,665,583,163,94,38,4,27,93,97,71,17,80,5,6,1,,23,6,0.279568,0.107138,0.120502,0.889098,0.359569,0.498087,0.35805,0.857656,0.218519,5.68098,0.282193,1.06345,0.888931,102.938,21.9119,131.327,1.95238,2.20504,26.913675785064697,2.580035924911499,5.19405,16.15999984741211,,,,"13510"
"Kyle Tucker","HOU",157,679,596,167,94,37,4,32,99,112,74,7,102,3,6,1,,26,6,0.280123,0.109263,0.150954,0.723817,0.359451,0.517721,0.369943,0.877172,0.237598,5.84746,0.288345,0.797293,1.44181,111.812,29.0802,138.316,2.2391,0.50645,33.412394762039185,-6.868550479412079,4.94733,6.480000019073486,,,,"18345"
"Corbin Carroll","ARI",157,679,594,162,99,30,9,24,104,88,64,2,142,13,4,5,,42,8,0.27223,0.0945198,0.20968,0.45078,0.353655,0.472773,0.355127,0.826427,0.200543,7.98499,0.31984,1.53475,3.43919,103.457,20.7253,122.979,4.97394,7.95641,24.3030686378479,1.5814085006713867,4.8872,5.980000019073486,,,,"25878"
"Gunnar Henderson","BAL",143,616,541,141,82,27,6,26,91,88,64,1,149,5,5,1,,11,4,0.260704,0.104225,0.242362,0.430039,0.342309,0.474897,0.350056,0.817207,0.214193,5.95278,0.31146,0.901819,-0.662269,91.2637,16.2077,125.978,0.23955,3.59695,19.413757741451263,8.59694766998291,4.88016,32.91999816894531,,,,"26289"
"Francisco Lindor","NYM",156,672,592,150,93,28,3,26,92,91,64,2,129,9,6,1,,21,5,0.253302,0.0946636,0.191664,0.493903,0.332432,0.444321,0.334829,0.776753,0.191019,5.56653,0.279091,0.242611,0.611218,91.0626,9.18335,114.155,0.853829,4.4712,12.638218522071838,11.671199798583984,4.70637,22.969999313354492,,,,"12916"
