Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,558,156,80,26,0,49,114,124,116,15,178,6,5,1,,8,2,0.27852,0.169327,0.258891,0.654046,0.405444,0.590203,0.415429,0.995646,0.311683,3.53946,0.316873,0.0750388,-0.430259,138.359,58.112,176.005,-0.35522,-2.85431,59.30358538031578,-11.404313802719116,7.3087,3.259999990463257,,,,,,,1227.2,7.718238993,1227.2,7.718238993,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",159,686,623,182,107,37,8,30,108,101,50,5,111,6,6,1,,32,11,0.292002,0.0728782,0.161824,0.450354,0.347553,0.523328,0.36863,0.870881,0.231326,7.13102,0.310784,1.43677,0.738323,112.519,32.2725,138.624,2.1751,4.06699,32.49179935455322,11.416985511779785,6.89657,1.5800000429153442,,,,,,,1029.1,6.472327044,1029.1,6.472327044,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",157,679,592,162,95,30,6,31,108,95,75,1,150,6,5,1,,17,4,0.274223,0.109753,0.221149,0.496286,0.358734,0.504826,0.370357,0.863561,0.230604,6.23192,0.315337,1.20182,0.305896,112.315,32.8873,146.932,1.50772,-2.96631,37.969778537750244,4.058687686920166,6.67828,7.190000057220459,,,,,,,991.9,6.317834394,991.9,6.317834394,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",159,686,542,151,87,27,2,35,113,100,135,7,112,4,4,1,,8,4,0.279313,0.196635,0.16388,1.19987,0.423217,0.529145,0.407671,0.952362,0.249832,3.81655,0.292617,-1.25856,-1.58082,134.075,53.8285,167.571,-2.83938,-3.87826,52.590402126312256,-12.228257894515991,6.52784,7.579999923706055,,,,,,,1143.3,7.190566037,1143.3,7.190566037,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",157,679,618,172,112,29,2,29,95,92,48,3,159,9,3,1,,28,7,0.277963,0.0703653,0.234067,0.30062,0.336637,0.472001,0.347725,0.808638,0.194039,5.59773,0.329156,0.984793,1.29044,99.9468,20.5187,134.767,2.27524,5.22715,29.28616738319397,7.452152490615845,6.13192,13.489999771118164,,,,,,,917.9,5.846496815,917.9,5.846496815,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mookie Betts","LAD",157,679,583,163,98,34,3,28,109,94,84,3,94,7,5,1,,15,3,0.280164,0.123096,0.138322,0.889924,0.373774,0.495015,0.373418,0.86879,0.214852,5.31039,0.289785,0.341069,0.145817,113.988,34.5598,142.701,0.486885,-7.02452,35.15773794054985,-0.1495194435119629,5.95082,12.630000114440918,,,,,,,1001.8,6.380891719,1001.8,6.380891719,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",159,686,607,157,95,31,3,28,101,89,63,2,130,10,5,2,,23,5,0.258762,0.0912817,0.189687,0.481223,0.336054,0.456653,0.342614,0.792707,0.197891,5.92348,0.284802,0.579325,1.30148,98.1553,17.9083,123.783,1.88081,5.46655,21.390369772911072,12.566552639007568,5.86632,14.539999961853027,,,,,,,891.1,5.604402515,891.1,5.604402515,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Shohei Ohtani","LAD",151,651,561,160,83,30,5,42,119,116,79,10,150,5,4,1,,36,6,0.285242,0.122094,0.230813,0.528973,0.376461,0.579486,0.40024,0.955947,0.294244,7.06228,0.316787,0.300655,3.38046,123.341,47.1885,160.754,3.68111,0,50.976073265075684,-16.274999618530273,5.8228,1.5800000429153442,,,,,,,1148.9,7.608609271,1148.9,7.608609271,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",152,658,590,163,91,34,1,37,104,101,57,1,141,7,3,1,,19,4,0.276833,0.0866307,0.214183,0.404471,0.345591,0.527121,0.372485,0.872712,0.250288,5.21763,0.304266,0.975946,0.984094,109.969,32.9972,144.051,1.96004,4.94408,36.62152695655823,-2.5059218406677246,5.78641,11.319999694824219,,,,,,,991.8,6.525,991.8,6.525,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Yordan Alvarez","HOU",141,609,522,157,87,32,2,36,94,104,73,11,104,10,5,0,,3,1,0.30115,0.119128,0.17005,0.700546,0.393437,0.574975,0.406351,0.968412,0.273825,3.43424,0.313934,-0.564184,-0.816104,118.379,47.1397,171.172,-1.38029,-0.076931,48.213733553886414,-13.001931227743626,5.73327,17.15999984741211,,,,,,,1051.7,7.458865248,1051.7,7.458865248,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
