Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",52,224,204,59,35,13,3,9,34,31,16,2,37,2,2,0,,12,4,0.291899,0.073244,0.165387,0.442863,0.347296,0.515631,0.365964,0.862927,0.223733,7.3008,0.314977,1.10419,0.668021,35.6649,9.47542,131.805,1.77221,1.06755,10.153069138526917,3.472180485725403,2.20574,1.6299999952316284,,,,,,,331.4,6.373076923,331.4,6.373076923,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Aaron Judge","NYY",40,173,141,42,21,7,0,13,30,32,29,3,44,2,1,0,,2,1,0.2949,0.169392,0.252149,0.671794,0.418799,0.625158,0.436077,1.04396,0.330258,3.96894,0.334819,-0.0647117,-0.112727,37.1982,17.0493,184.105,-0.177439,-0.387866,16.873344108462334,-3.1045323610305786,2.03605,3.119999885559082,,,,,,,330.7,8.2675,330.7,8.2675,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",49,213,183,53,28,9,2,14,39,34,27,4,49,2,1,0,,10,3,0.289261,0.126701,0.230885,0.548763,0.383439,0.593331,0.408693,0.97677,0.30407,7.13602,0.320944,0.753325,0.58404,41.1816,16.3283,167.366,1.33736,0,17.98582684993744,-5.3245368003845215,2.02193,1.5499999523162842,,,,,,,380.5,7.765306122,380.5,7.765306122,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Kyle Tucker","CHC",52,226,193,54,32,10,1,11,34,33,30,3,34,1,2,0,,8,2,0.281907,0.13373,0.148667,0.899527,0.378852,0.51547,0.381534,0.894323,0.233563,5.80851,0.290968,0.863809,0.59456,38.8079,12.3965,150.171,1.45837,0.124953,14.634741425514221,-2.5333803594112396,2.00902,8.710000038146973,,,,,,,350.1,6.732692307,350.1,6.732692307,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Juan Soto","NYM",51,222,178,48,27,9,1,11,35,32,42,2,36,1,1,0,,3,1,0.270679,0.188739,0.16371,1.15289,0.410889,0.520251,0.399914,0.931141,0.249572,4.05744,0.279794,-0.6585,-0.237792,41.3808,15.4585,164.96,-0.896293,-1.26789,15.848262012004852,-3.8115651607513428,1.98826,7.079999923706055,,,,,,,357.9,7.017647058,357.9,7.017647058,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"José Ramírez","CLE",52,224,200,57,34,12,1,10,32,33,21,4,26,1,2,0,,11,3,0.282751,0.0925319,0.115432,0.801617,0.35,0.499064,0.35899,0.849064,0.216312,5.96628,0.281202,0.985881,0.783388,34.337,8.19786,131.674,1.76927,0.548955,10.099652767181396,1.215622067451477,1.96587,4.900000095367432,,,,,,,332.2,6.388461538,332.2,6.388461538,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Fernando Tatis Jr.","SDP",51,222,197,55,33,10,1,11,35,30,21,1,43,2,1,0,,8,2,0.277181,0.0942341,0.194747,0.48388,0.351705,0.50639,0.368427,0.858095,0.229209,5.72165,0.301936,0.861634,0.606447,35.742,9.81971,142.803,1.46808,1.79046,12.50114905834198,-0.6877764463424683,1.96522,11.619999885559082,,,,,,,327.7,6.425490196,327.7,6.425490196,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Francisco Lindor","NYM",51,222,197,51,31,10,1,10,33,28,19,1,41,4,2,0,,8,2,0.260408,0.0869044,0.184893,0.470025,0.334917,0.462126,0.344759,0.797043,0.201718,5.72292,0.282036,0.653659,0.54029,31.5036,5.58135,126.642,1.19395,1.32911,8.061304211616516,3.627409338951111,1.95236,14.149999618530273,,,,,,,295.9,5.801960784,295.9,5.801960784,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Cal Raleigh","SEA",49,198,173,41,20,8,0,13,28,32,22,1,52,1,1,0,,2,1,0.236772,0.112095,0.26333,0.425682,0.326279,0.504766,0.353728,0.831045,0.267993,3.59642,0.257155,-0.364646,-0.0420571,29.4624,6.39578,133.437,-0.406703,1.49263,7.353737086057663,3.8236483335494995,1.8578,85.55000305175781,,,,,,,272,5.551020408,272,5.551020408,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Mookie Betts","LAD",50,215,187,51,32,10,1,8,34,29,25,1,26,2,2,0,,5,1,0.275374,0.115059,0.122374,0.940225,0.36298,0.476274,0.363055,0.839254,0.200901,5.05464,0.27999,0.119206,0.144773,33.7044,8.5838,135.659,0.263979,-0.6917,9.171430587768555,1.5329909920692444,1.82772,13.65999984741211,,,,,,,296.2,5.924,296.2,5.924,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
