Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",134,580,471,135,71,23,1,40,97,104,99,13,147,6,3,1,,8,2,0.285914,0.170927,0.253801,0.673468,0.413215,0.591805,0.426062,1.00502,0.305891,3.91907,0.330055,0.0629253,-0.496797,118.825,52.2098,186.37,-0.433872,-1.43949,54.55381813645363,-8.839182376861572,6.84183,3.119999885559082,,,,,,,1058,7.895522388,1058,7.895522388,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",135,584,529,153,91,33,6,24,89,82,45,6,94,5,4,1,,29,9,0.289396,0.0772971,0.160517,0.481551,0.348818,0.507975,0.36895,0.856793,0.218579,6.92605,0.311326,1.20718,0.881298,93.4406,26.3392,140.868,2.08848,3.68624,28.296953201293945,9.94734787940979,6.07663,1.6299999952316284,,,,,,,863.2,6.394074074,863.2,6.394074074,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",128,553,485,129,75,24,5,25,85,75,59,1,126,5,3,1,,14,3,0.266026,0.106869,0.228778,0.467129,0.349066,0.489246,0.365756,0.838312,0.223219,6.22067,0.309513,0.952958,0.159394,86.9673,23.5176,145.838,1.11235,-2.73121,28.908435344696045,2.974656581878662,5.29888,9.329999923706055,,,,,,,780.7,6.09921875,780.7,6.09921875,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",134,578,522,140,90,23,3,23,81,73,44,3,135,8,3,1,,24,6,0.267787,0.0764986,0.233796,0.327202,0.332207,0.457451,0.344973,0.789659,0.189664,5.97209,0.317373,0.833885,1.13267,81.5786,15.1619,134.785,1.96656,4.14991,24.046536922454834,6.045283794403076,5.20384,13.710000038146973,,,,,,,746.8,5.573134328,746.8,5.573134328,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mookie Betts","LAD",132,568,487,136,82,28,2,23,90,78,71,3,74,5,3,1,,13,3,0.278884,0.125731,0.130289,0.965018,0.375047,0.490046,0.378243,0.865093,0.211163,5.03546,0.285962,0.282339,0.0109007,95.0244,29.7687,141.933,0.293239,-4.66683,28.82343265414238,1.0837912559509277,5.03743,13.65999984741211,,,,,,,827.7,6.270454545,827.7,6.270454545,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Fernando Tatis Jr.","SDP",129,556,495,138,79,26,2,31,90,81,51,1,114,5,3,1,,20,4,0.27779,0.0921954,0.204572,0.450674,0.349399,0.526294,0.379003,0.875693,0.248504,5.70674,0.300846,0.811239,1.20394,93.3773,29.481,144.372,2.01518,4.61165,31.575779676437378,-1.6886539459228516,4.99547,11.619999885559082,,,,,,,850.8,6.595348837,850.8,6.595348837,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Juan Soto","NYM",134,580,458,125,73,23,2,27,94,81,114,6,93,3,4,1,,7,3,0.272134,0.197132,0.160531,1.228,0.417787,0.506616,0.403382,0.924403,0.234482,3.93732,0.285706,-1.05124,-1.36466,108.475,41.8602,160.229,-2.4159,-3.27616,39.41615056991577,-10.33758282661438,4.99074,7.079999923706055,,,,,,,929.8,6.93880597,929.8,6.93880597,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"José Ramírez","CLE",131,566,503,137,79,31,2,25,80,83,55,13,68,3,5,0,,25,6,0.271974,0.0968256,0.120043,0.806593,0.344336,0.492007,0.356393,0.836344,0.220034,5.61983,0.269264,0.677752,1.67619,84.9849,19.9376,137.713,2.35394,0.472875,25.799121618270874,1.9849124550819397,4.9203,4.900000095367432,,,,,,,805.2,6.146564885,805.2,6.146564885,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Francisco Lindor","NYM",134,580,512,133,83,26,2,23,85,73,53,1,107,9,4,2,,18,4,0.260575,0.091839,0.184648,0.497373,0.338117,0.452796,0.347386,0.790914,0.192221,5.61748,0.286085,0.486123,0.904972,82.9235,16.3083,123.44,1.39109,4.31265,17.671244025230408,10.316970348358154,4.87685,14.149999618530273,,,,,,,744.8,5.558208955,744.8,5.558208955,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Cal Raleigh","SEA",124,497,439,98,51,19,1,27,60,72,52,3,136,3,3,0,,4,1,0.223922,0.104518,0.272939,0.382937,0.308811,0.454794,0.332371,0.763605,0.230872,3.42729,0.255652,-0.707584,-0.481682,65.2113,8.10655,125.753,-1.18927,4.07015,12.865431189537048,10.331261157989502,4.72608,85.55000305175781,,,,,,,594.2,4.791935483,594.2,4.791935483,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
