Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15,7,,3.231,31,31,0,0,180,733,135,70,65,21,58,,9,256,12.777,2.87477,4.44452,1.04494,0.349166,0.0785609,0.2706047222018242,0.203236,1.07089,0.293913,0.751609,,,3.03021,4.95972,4.87999,6.190000057220459,,,,"27498"
"Zack Wheeler","PHI",13,9,,3.5805,32,32,0,0,196,810,177,85,78,21,51,,9,197,9.03865,2.33421,3.87225,0.967121,0.243118,0.0627846,0.1803332194685936,0.236512,1.16459,0.293766,0.721979,,,3.55376,4.95902,4.46877,24.729999542236328,,,,"10310"
"Aaron Nola","PHI",13,10,,3.82581,32,32,0,0,196,806,182,90,83,25,42,,7,203,9.31655,1.92086,4.8502,1.13943,0.252163,0.0519902,0.20017260313034058,0.239766,1.13837,0.29613,0.707338,,,3.57304,4.81679,3.93895,52.31999969482422,,,,"16149"
"Kevin Gausman","TOR",13,9,,3.45118,32,32,0,0,192,794,173,80,74,24,48,,4,215,10.0587,2.26967,4.43179,1.13821,0.270638,0.0610675,0.20957040414214134,0.233185,1.15117,0.295854,0.756266,,,3.48697,4.37359,4.21044,30.1299991607666,,,,"14107"
"Logan Webb","SFG",13,10,,3.41177,32,32,0,0,202,838,196,84,77,17,44,,8,178,7.92793,1.95606,4.05301,0.765624,0.212682,0.052475,0.1602066121995449,0.249895,1.18846,0.303426,0.722514,,,3.36625,4.18936,4.34638,52.470001220703125,,,,"17995"
"Pablo López","MIN",12,9,,3.59394,32,32,0,0,192,792,169,83,77,22,51,,9,210,9.88045,2.40964,4.10038,1.03511,0.265785,0.0648198,0.20096569508314133,0.231128,1.14929,0.294676,0.724168,,,3.50367,4.06105,3.91891,34.869998931884766,,,,"17085"
"Yoshinobu Yamamoto","LAD",14,8,,3.79517,29,29,0,0,188,754,158,86,79,26,45,,6,194,9.30045,2.16816,4.28955,1.22439,0.257626,0.060059,0.19756720215082169,0.224886,1.08141,0.274319,0.702736,,,3.778,3.83163,3.43524,38.47999954223633,,,,"sa3023345"
"Luis Castillo","SEA",13,10,,3.45926,32,32,0,0,194,801,168,81,75,22,58,,7,205,9.49765,2.68677,3.53496,1.02227,0.255575,0.0722992,0.18327578157186508,0.227942,1.16341,0.286163,0.743949,,,3.62546,3.77071,3.93708,30.270000457763672,,,,"15689"
"Corbin Burnes","BAL",12,9,,3.61873,32,32,0,0,197,815,170,86,79,21,61,,9,209,9.54888,2.77615,3.43961,0.960931,0.255999,0.0744267,0.18157220631837845,0.227994,1.17262,0.288802,0.718931,,,3.58368,3.76737,3.8012,20.049999237060547,,,,"19361"
"Framber Valdez","HOU",14,8,,3.36616,31,31,0,0,196,818,176,81,73,17,65,,11,188,8.61827,2.96987,2.9019,0.774227,0.229864,0.0792117,0.15065274387598038,0.2368,1.22533,0.295653,0.737576,,,3.61278,3.72252,4.51816,57.47999954223633,,,,"17295"
"George Kirby","SEA",13,10,,3.55475,32,32,0,0,191,784,183,81,75,23,32,,7,177,8.36377,1.4906,5.611,1.10075,0.226065,0.0402897,0.1857757605612278,0.245044,1.12297,0.29246,0.731263,,,3.59827,3.70718,3.74404,32.7599983215332,,,,"25436"
"Tarik Skubal","DET",10,9,,3.47196,29,29,0,0,158,645,138,66,61,17,41,,5,174,9.93395,2.35679,4.21502,0.991786,0.269511,0.0639405,0.20557017624378204,0.230146,1.13645,0.295567,0.732804,,,3.36604,3.69965,3.59156,49.45000076293945,,,,"22267"
"Zach Eflin","TBR",13,9,,3.5154,31,31,0,0,178,730,168,75,70,21,32,,6,173,8.71331,1.60384,5.43278,1.06283,0.236362,0.0435067,0.1928555965423584,0.242891,1.12219,0.29494,0.731582,,,3.48274,3.64944,3.58752,77.66000366210938,,,,"13774"
"Max Fried","ATL",14,7,,3.43578,31,31,0,0,179,744,170,75,68,18,47,,6,167,8.41196,2.34826,3.58221,0.884032,0.224703,0.0627276,0.16197578608989716,0.246179,1.2122,0.301295,0.740235,,,3.54868,3.61105,4.25917,61.130001068115234,,,,"13743"
"Shane Bieber","CLE",11,9,,3.72821,31,31,0,0,191,798,182,86,79,23,49,,6,187,8.82358,2.31927,3.80447,1.10508,0.234531,0.0616462,0.17288506403565407,0.244999,1.21134,0.297878,0.732267,,,3.75385,3.3584,3.41279,151.32000732421875,,,,"19427"
"Zac Gallen","ARI",13,10,,3.69483,32,32,0,0,197,817,180,87,81,24,56,,8,194,8.88213,2.56845,3.45816,1.09893,0.237565,0.068697,0.16886825114488602,0.238959,1.2004,0.291493,0.734741,,,3.84374,3.3491,4.24915,40.22999954223633,,,,"19291"
"Gerrit Cole","NYY",12,8,,3.62182,29,29,0,0,182,746,158,79,73,26,49,,5,200,9.91086,2.40408,4.12252,1.28111,0.268398,0.0651054,0.20329279452562332,0.228247,1.13644,0.283407,0.748956,,,3.78575,3.32246,3.54092,13.449999809265137,,,,"13125"
"Tyler Glasnow","LAD",12,6,,3.52314,26,26,0,0,147,599,122,62,57,20,46,,2,183,11.1961,2.79598,4.00434,1.22796,0.304883,0.0761382,0.2287452146410942,0.221079,1.14085,0.292139,0.754108,,,3.51605,3.26853,3.25127,41.95000076293945,,,,"14374"
"Jesús Luzardo","MIA",10,10,,3.82022,31,31,0,0,177,745,157,81,75,23,61,,7,200,10.188,3.12508,3.26008,1.16296,0.269141,0.0825565,0.18658418953418732,0.23252,1.23512,0.296666,0.737702,,,3.83315,3.20784,3.48272,80.41999816894531,,,,"19959"
"Justin Steele","CHC",11,9,,3.67152,31,31,0,0,177,742,168,78,72,20,53,,8,165,8.40418,2.69222,3.12165,1.00007,0.222621,0.0713151,0.15130551159381866,0.247064,1.25081,0.299448,0.737414,,,3.8599,3.166,3.72309,99.0999984741211,,,,"17312"
"Carlos Rodón","NYY",12,9,,3.8116,29,29,0,0,157,651,131,72,67,22,49,,7,185,10.5555,2.80896,3.75779,1.23861,0.28336,0.0754058,0.2079538330435753,0.220418,1.14617,0.281555,0.724497,,,3.76358,3.09606,2.63202,136.22999572753906,,,,"16137"
"Dylan Cease","CHW",10,10,,4.00311,31,31,0,0,174,749,152,84,78,23,74,,7,201,10.3715,3.8416,2.69979,1.16975,0.268472,0.0994416,0.16903019696474075,0.227862,1.29796,0.291716,0.733441,,,4.04811,3.09602,2.895,105.69000244140625,,,,"18525"
"Freddy Peralta","MIL",11,9,,3.76701,29,29,0,0,163,672,133,73,68,22,58,,8,190,10.5023,3.21921,3.26238,1.20023,0.282031,0.0864495,0.1955810934305191,0.219356,1.17607,0.281838,0.733383,,,3.87503,3.08972,3.29871,53.11000061035156,,,,"18679"
"Eduardo Rodriguez","ARI",12,10,,3.82013,31,31,0,0,174,738,169,80,74,20,55,,5,168,8.6908,2.87818,3.01955,1.06212,0.226912,0.0751478,0.15176454931497574,0.249479,1.29506,0.303393,0.738272,,,3.89704,3.04119,3.41543,192.38999938964844,,,,"13164"
"Logan Gilbert","SEA",12,10,,3.69104,32,32,0,0,190,787,176,84,78,25,47,,6,182,8.60236,2.243,3.8352,1.17045,0.230723,0.0601593,0.1705636978149414,0.240084,1.1767,0.287127,0.738012,,,3.87276,3.0227,3.35024,61.65999984741211,,,,"22250"
"Blake Snell",,11,8,,3.51996,28,28,0,0,155,657,124,66,61,18,74,,4,196,11.3551,4.29515,2.64371,1.03168,0.297701,0.112607,0.1850937157869339,0.213619,1.27542,0.289621,0.763938,,,3.72673,2.92582,3.48025,69.55999755859375,,,,"13543"
"Mitch Keller","PIT",11,11,,4.14929,32,32,0,0,189,811,184,94,87,22,64,,11,178,8.46257,3.04106,2.78277,1.05866,0.219156,0.0787547,0.14040161669254303,0.249594,1.30945,0.301249,0.70897,,,4.09752,2.91763,3.0298,163.32000732421875,,,,"17594"
"Shota Imanaga","CHC",9,7,,3.69666,26,26,0,0,145,606,134,64,60,18,41,,6,151,9.3612,2.51968,3.71523,1.11419,0.248737,0.0669508,0.1817866712808609,0.239715,1.20575,0.297243,0.739578,,,3.74308,2.89505,3.03894,186.02000427246094,,,,"sa3023346"
"Sonny Gray","STL",10,8,,3.70181,31,31,0,0,175,734,162,78,72,19,57,,8,159,8.21358,2.91652,2.81623,1.00407,0.217379,0.077188,0.14019087702035904,0.241583,1.24925,0.29001,0.734292,,,3.98588,2.87163,3.51479,115.9000015258789,,,,"12768"
"Joe Musgrove","SDP",12,8,,3.6147,29,29,0,0,174,727,160,76,70,21,44,,13,168,8.68172,2.24783,3.86227,1.10838,0.231309,0.0598894,0.1714198850095272,0.239216,1.16963,0.288921,0.738284,,,3.90163,2.86851,3.30316,90.87000274658203,,,,"12970"
