Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",5,2,7,2.78897,10,10,0,0,,65,255,51,22,20,6,13,,2,77,10.6353,1.75943,6.04475,0.832901,0.300949,0.0497868,0.25116177648305893,0.212676,0.981555,0.286363,0.756723,,,2.62153,2.04219,1.88663,13.8100004196167,,,,,,,383.6,5.901538461538462,356,5.476923076923077,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",4,3,7,2.8791,10,10,0,0,,61,244,48,21,19,5,17,,2,71,10.5236,2.47259,4.25612,0.741499,0.291438,0.0684752,0.22296322137117386,0.213405,1.06422,0.288871,0.755107,,,2.7607,1.74776,1.8369,10.890000343322754,,,,,,,350.1000000000001,5.739344262295083,325,5.327868852459017,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",5,3,7,3.17214,11,11,0,0,,68,271,54,26,24,7,17,,3,77,10.2457,2.27193,4.50971,0.981342,0.284408,0.0630657,0.22134274244308472,0.215633,1.05243,0.280587,0.743875,,,3.10919,1.71613,1.72901,21.649999618530273,,,,,,,370.70000000000005,5.451470588235295,343,5.044117647058823,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",4,3,7,3.24492,11,11,0,0,,67,276,63,26,24,5,15,,2,62,8.2494,2.01213,4.09983,0.653716,0.22339,0.0544875,0.168902188539505,0.244492,1.16528,0.30361,0.727143,,,2.95561,1.55127,1.52089,98.33999633789062,,,,,,,343.49999999999994,5.126865671641791,343,5.119402985074627,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",4,2,6,3.15396,10,10,0,0,,55,219,43,21,19,6,16,,2,69,11.3811,2.57818,4.41441,0.913404,0.314734,0.0712969,0.24343685060739517,0.213509,1.07647,0.294987,0.744402,,,2.83381,1.5476,1.424,23.670000076293945,,,,,,,305.4,5.552727272727273,281,5.109090909090909,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Yoshinobu Yamamoto","LAD",5,3,6,3.4158,10,10,0,0,,59,241,50,24,23,6,16,,2,64,9.64233,2.47741,3.89211,0.929216,0.264076,0.067849,0.19622664153575897,0.224392,1.11716,0.286601,0.724464,,,3.20521,1.40334,1.28086,59.349998474121094,,,,,,,306.8,5.2,291,4.932203389830509,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Max Fried","NYY",5,3,6,3.29913,10,10,0,0,,63,258,56,25,23,6,17,,2,60,8.53831,2.4397,3.49973,0.831076,0.231278,0.0660844,0.16519340127706528,0.232979,1.15441,0.287589,0.737431,,,3.32493,1.375,1.38563,96.06999969482422,,,,,,,309.80000000000007,4.917460317460319,300,4.761904761904762,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Jacob deGrom","TEX",3,2,6,3.20674,10,10,0,0,,53,210,43,20,19,6,11,,2,61,10.3448,1.93455,5.34736,1.08446,0.289925,0.0542183,0.2357066050171852,0.217618,1.02332,0.281372,0.744222,,,3.10764,1.35877,1.27164,49.810001373291016,,,,,,,289.6,5.464150943396227,270,5.09433962264151,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Spencer Strider","ATL",5,3,6,3.52005,10,10,0,0,,61,247,47,26,24,7,21,,2,80,11.8231,3.17421,3.72474,1.07043,0.322063,0.0864659,0.23559684306383133,0.210757,1.12977,0.291928,0.731519,,,3.18472,1.34131,1.21642,101.01000213623047,,,,,,,334.1000000000001,5.47704918032787,305,5,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Framber Valdez","HOU",5,3,6,3.35427,10,10,0,0,,64,266,56,26,24,6,21,,3,63,8.90764,2.91399,3.05685,0.773523,0.238289,0.0779524,0.16033648699522018,0.230119,1.19467,0.289771,0.734928,,,3.33505,1.31321,1.34264,61.900001525878906,,,,,,,308.20000000000005,4.815625000000001,296,4.625,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Tyler Glasnow","LAD",4,2,6,3.5787,10,10,0,0,,55,222,44,24,22,7,18,,1,67,10.9754,2.88324,3.80661,1.1483,0.30169,0.079254,0.22243548184633255,0.213935,1.11234,0.282132,0.728413,,,3.33058,1.21973,1.01315,91.72000122070312,,,,,,,283.5,5.154545454545454,261,4.745454545454545,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Logan Gilbert","SEA",4,3,6,3.35507,10,10,0,0,,61,242,50,25,23,8,13,,2,67,9.90026,1.93035,5.12873,1.1546,0.277198,0.0540481,0.22314999997615814,0.217874,1.02615,0.273671,0.733509,,,3.28691,1.21794,1.07468,26.360000610351562,,,,,,,312.0000000000001,5.114754098360658,290,4.754098360655738,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Hunter Brown","HOU",4,3,6,3.61699,10,10,0,0,,59,246,51,26,24,6,20,,2,66,10.0402,3.10034,3.23842,0.983696,0.26813,0.0827964,0.18533331900835037,0.230553,1.21593,0.298304,0.732983,,,3.42237,1.21653,1.01058,98.58000183105469,,,,,,,296.20000000000005,5.0203389830508485,283,4.796610169491525,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Cristopher Sánchez","PHI",4,3,6,3.47565,10,10,0,0,,60,250,56,25,23,6,17,,2,55,8.28831,2.49412,3.32314,0.853281,0.221859,0.0667617,0.15509691089391708,0.242803,1.2099,0.296524,0.733532,,,3.40863,1.2106,1.29387,144.05999755859375,,,,,,,277.6,4.626666666666667,275,4.583333333333333,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Joe Ryan","MIN",4,3,5,3.76231,10,10,0,0,,60,244,51,27,25,9,14,,3,67,9.94807,2.06581,4.81559,1.33521,0.274072,0.0569135,0.2171585001051426,0.225515,1.07687,0.279185,0.716182,,,3.6353,1.20835,0.993447,93.91999816894531,,,,,,,283.70000000000005,4.728333333333334,266,4.433333333333334,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Dylan Cease","SDP",4,3,6,3.60031,10,10,0,0,,58,242,48,25,23,7,22,,2,69,10.6354,3.35888,3.16636,1.02351,0.285588,0.0901946,0.19539371132850647,0.220336,1.19559,0.290796,0.734066,,,3.42155,1.16353,1.00646,47.27000045776367,,,,,,,284.3,4.901724137931034,265,4.568965517241379,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Sonny Gray","STL",4,3,6,3.61639,10,10,0,0,,58,238,52,25,23,6,15,,2,61,9.42534,2.39819,3.93019,1.00853,0.255171,0.0649259,0.19024501740932465,0.235721,1.1631,0.296686,0.72185,,,3.35361,1.15348,1.06391,122.05000305175781,,,,,,,291.20000000000005,5.020689655172415,283,4.879310344827586,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"George Kirby","SEA",4,3,6,3.59321,10,10,0,0,,60,241,56,26,24,8,10,,2,56,8.48224,1.43476,5.91196,1.14791,0.233031,0.039417,0.19361452013254166,0.243571,1.09644,0.291493,0.72175,,,3.45554,1.12198,0.894247,100.83999633789062,,,,,,,276,4.6,272,4.533333333333333,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"MacKenzie Gore","WSN",3,4,6,3.72762,10,10,0,0,,58,241,50,26,24,7,20,,2,66,10.2362,3.18704,3.21182,1.06464,0.272714,0.0849097,0.18780475854873657,0.230066,1.22325,0.297703,0.730926,,,3.53152,1.0893,1.00103,200.7899932861328,,,,,,,279.1,4.812068965517242,265,4.568965517241379,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Nathan Eovaldi","TEX",4,3,6,3.62297,10,10,0,0,,57,231,50,25,23,7,14,,2,56,8.93869,2.19771,4.06727,1.07702,0.243699,0.0599171,0.18378212675452232,0.233887,1.13065,0.286408,0.719639,,,3.51558,1.08846,0.976867,203.2899932861328,,,,,,,269.69999999999993,4.73157894736842,258,4.526315789473684,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Tanner Bibee","CLE",4,3,6,3.77575,10,10,0,0,,61,251,55,28,26,8,17,,3,61,8.95954,2.44695,3.66151,1.22237,0.241228,0.065882,0.17534556984901428,0.235118,1.16844,0.283658,0.728238,,,3.80576,1.03247,0.905211,88.16000366210938,,,,,,,272.0000000000001,4.459016393442625,263,4.311475409836065,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Ranger Suárez","PHI",4,3,5,3.58134,13,9,0,0,,57,235,52,24,22,6,17,,2,52,8.20776,2.69104,3.05003,0.918712,0.219281,0.0718945,0.14738620072603226,0.240119,1.21855,0.290347,0.730748,,,3.58149,1.03068,1.04225,278.0299987792969,,,,,,,259.79999999999995,4.557894736842105,254,4.456140350877193,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Kevin Gausman","TOR",4,4,5,3.97259,10,10,0,0,,62,258,58,30,27,9,18,,1,62,8.97706,2.60057,3.45196,1.23655,0.240135,0.0695647,0.17057008296251297,0.242715,1.22163,0.293696,0.720746,,,3.81462,1.02079,0.783484,166.66000366210938,,,,,,,264.29999999999995,4.2629032258064505,260,4.193548387096774,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Blake Snell","LAD",4,2,5,3.54669,9,9,0,0,,49,205,38,21,19,6,22,,1,61,11.1094,4.05527,2.73949,1.05011,0.297388,0.108556,0.1888321340084076,0.208164,1.21559,0.278976,0.748162,,,3.56549,0.958399,0.944198,44.5099983215332,,,,,,,243,4.959183673469388,220,4.489795918367347,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Bryan Woo","SEA",4,3,6,3.6,10,10,0,0,,55,220,48,24,22,7,11,,2,51,8.45885,1.76135,4.80248,1.17522,0.233751,0.048673,0.18507807329297066,0.230729,1.06831,0.273659,0.715449,,,3.62469,0.956835,0.80062,130.55999755859375,,,,,,,259.09999999999997,4.71090909090909,247,4.490909090909091,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Carlos Rodón","NYY",5,3,5,3.96771,10,10,0,0,,59,244,50,28,26,9,20,,3,68,10.2625,3.0188,3.39951,1.3524,0.276685,0.0813895,0.19529524445533752,0.223522,1.17195,0.279885,0.72044,,,3.89933,0.953772,0.792294,140.91000366210938,,,,,,,262.90000000000003,4.455932203389831,245,4.1525423728813555,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Brandon Woodruff","MIL",3,3,5,3.8064,9,9,0,0,,54,223,48,25,23,7,15,,2,54,9.03928,2.49732,3.6196,1.2394,0.244176,0.0674596,0.1767169013619423,0.233464,1.16378,0.282037,0.72511,,,3.8227,0.937762,0.818814,254.5399932861328,,,,,,,245.7,4.55,236,4.37037037037037,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Hunter Greene","CIN",3,3,4,3.86167,8,8,0,0,,49,203,40,23,21,7,17,,4,58,10.6948,3.10769,3.44139,1.33325,0.287678,0.0835935,0.2040841355919838,0.216822,1.1506,0.27639,0.725415,,,3.88919,0.937511,0.849154,94.69999694824219,,,,,,,225.5,4.6020408163265305,207,4.224489795918367,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Jesús Luzardo","PHI",4,3,5,3.90596,10,10,0,0,,55,230,49,26,24,7,18,,2,59,9.6176,2.94207,3.26899,1.18035,0.256639,0.0785073,0.17813192307949066,0.234936,1.2205,0.29282,0.722128,,,3.73889,0.926193,0.855366,235.11000061035156,,,,,,,251.49999999999997,4.572727272727272,242,4.4,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Drew Rasmussen","TBR",3,3,4,3.55385,15,8,0,0,,52,212,47,22,20,5,13,,2,48,8.36351,2.21589,3.77433,0.947399,0.227128,0.0601772,0.1669512763619423,0.236833,1.14927,0.287129,0.718697,,,3.43528,0.923675,0.776689,241.27999877929688,,,,,,,252.10000000000002,4.848076923076923,246,4.730769230769231,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Freddy Peralta","MIL",4,3,5,3.8429,10,10,0,0,,58,240,48,27,25,8,21,,3,64,9.89171,3.27203,3.02311,1.25133,0.265353,0.0877749,0.17757799476385117,0.220023,1.18444,0.273528,0.727753,,,3.93282,0.907964,0.863553,103.55999755859375,,,,,,,262.00000000000006,4.517241379310346,242,4.172413793103448,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Matthew Boyd","CHC",4,3,5,3.84465,10,10,0,0,,56,235,52,26,24,7,16,,3,56,8.90352,2.60354,3.41977,1.19319,0.237688,0.0695041,0.16818416863679886,0.239353,1.20497,0.289631,0.726572,,,3.84441,0.879679,0.816648,323.04998779296875,,,,,,,248.10000000000008,4.430357142857145,244,4.357142857142857,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Chris Bassitt","TOR",4,3,5,4.057,10,10,0,0,,58,248,56,29,26,8,18,,4,54,8.40275,2.8187,2.98107,1.16079,0.21979,0.0737285,0.14606165885925293,0.248433,1.2751,0.296491,0.717315,,,4.02757,0.879321,0.635717,344.04998779296875,,,,,,,227.20000000000007,3.917241379310346,228,3.9310344827586206,,,,,,,,,,,,,,,,,,,"Chris Bassitt","12304",605135
"Cole Ragans","KCR",2,2,4,3.40896,6,6,0,0,,37,151,30,15,14,4,13,,1,44,10.892,3.23621,3.36567,0.923562,0.292752,0.0869817,0.20577018707990646,0.220439,1.18411,0.297383,0.742374,,,3.18457,0.875299,0.84659,45.599998474121094,,,,,,,192.60000000000002,5.205405405405406,179,4.837837837837838,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Michael Wacha","KCR",4,3,5,4.10268,10,10,0,0,,59,249,58,29,27,8,17,,2,49,7.49386,2.56815,2.918,1.1862,0.197711,0.0677557,0.12995542585849762,0.250748,1.26135,0.28833,0.711216,,,4.09565,0.868584,0.810555,278.1300048828125,,,,,,,228.40000000000003,3.871186440677967,232,3.9322033898305087,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Seth Lugo","KCR",4,3,5,3.98968,10,10,0,0,,60,253,58,29,27,7,17,,2,52,7.73818,2.48138,3.11849,1.11125,0.204946,0.0657194,0.13922619074583054,0.249826,1.24481,0.292016,0.711756,,,3.92425,0.86592,0.87455,179.72999572753906,,,,,,,254.09999999999997,4.234999999999999,256,4.266666666666667,,,,,,,,,,,,,,,,,,,"Seth Lugo","12447",607625
"Sandy Alcantara","MIA",3,4,5,4.05948,10,10,0,0,,64,269,62,31,29,7,19,,2,53,7.45511,2.73844,2.7224,1.00331,0.196041,0.0720104,0.12403054535388947,0.250842,1.27863,0.293045,0.702284,,,3.90582,0.864236,0.919596,137.64999389648438,,,,,,,269.3,4.2078125,272,4.25,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Mitch Keller","PIT",3,4,5,4.25705,10,10,0,0,,60,256,60,31,28,7,18,,4,52,7.80983,2.6427,2.95525,1.063,0.203704,0.0689296,0.13477467745542526,0.255151,1.29046,0.300833,0.690003,,,3.94938,0.834576,0.684722,298.9200134277344,,,,,,,239.89999999999998,3.998333333333333,247,4.116666666666666,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Merrill Kelly","ARI",4,3,5,3.89802,10,10,0,0,,60,249,55,28,26,7,18,,2,56,8.41464,2.70336,3.11266,1.12212,0.224871,0.072244,0.15262725949287415,0.240392,1.2213,0.287319,0.717006,,,3.82169,0.832253,0.95958,300.7300109863281,,,,,,,266.9,4.448333333333333,261,4.35,,,,,,,,,,,,,,,,,,,"Merrill Kelly","11156",518876
"Nick Pivetta","SDP",3,3,5,3.95738,10,10,0,0,,58,236,49,28,25,9,17,,2,65,10.0883,2.72669,3.69982,1.43498,0.273785,0.0739996,0.19978564232587814,0.226876,1.15681,0.279649,0.727155,,,3.9132,0.832092,0.678743,173.72000122070312,,,,,,,264.1,4.55344827586207,246,4.241379310344827,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
