Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",10,5,14,2.8896,21,21,0,0,,128,508,103,45,41,12,27,,5,148,10.3726,1.88392,5.50587,0.846909,0.29114,0.0528781,0.23826152458786964,0.216425,1.01307,0.28764,0.753504,,,2.73226,3.70269,3.24239,13.8100004196167,,,,,,,731.8,5.7171875,684,5.34375,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",8,5,13,2.93104,20,20,0,0,,118,473,94,42,38,10,31,,4,138,10.5483,2.39362,4.40683,0.787719,0.292401,0.0663517,0.2260490208864212,0.214586,1.06101,0.289319,0.75337,,,2.78285,3.25026,3.3172,10.890000343322754,,,,,,,676.8000000000001,5.735593220338983,631,5.3474576271186445,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",9,5,13,3.2935,21,21,0,0,,133,535,110,53,49,15,33,,5,146,9.87181,2.25284,4.38193,1.01241,0.272358,0.0621548,0.21020324155688286,0.221015,1.07595,0.28229,0.738389,,,3.22296,3.10713,2.98035,21.649999618530273,,,,,,,691.7,5.200751879699249,648,4.87218045112782,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",9,6,13,3.35103,21,21,0,0,,134,553,127,54,50,10,32,,4,119,7.96584,2.12274,3.75261,0.647381,0.214782,0.0572353,0.15754670649766922,0.245719,1.18384,0.301986,0.719323,,,3.03299,2.85482,2.77197,98.33999633789062,,,,,,,668.3999999999999,4.988059701492536,670,5,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",8,5,12,3.22364,20,20,0,0,,105,424,83,41,38,11,32,,4,132,11.3501,2.78634,4.07349,0.934478,0.311792,0.0765418,0.23525014519691467,0.213329,1.09926,0.293509,0.744243,,,2.93626,2.76727,2.47729,23.670000076293945,,,,,,,581.9000000000001,5.541904761904763,538,5.123809523809523,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",9,5,12,3.22887,20,20,0,0,,118,480,99,46,42,12,31,,6,141,10.7718,2.35851,4.56719,0.941683,0.294435,0.0644675,0.22996797412633896,0.223759,1.10107,0.299975,0.744941,,,2.9917,2.70462,2.7877,35.97999954223633,,,,,,,639.2,5.416949152542373,605,5.127118644067797,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Yoshinobu Yamamoto","LAD",8,4,11,3.31778,18,18,0,0,,106,427,89,42,39,10,28,,3,114,9.70497,2.37843,4.08041,0.859195,0.266717,0.0653654,0.2013520672917366,0.224149,1.10499,0.289203,0.725074,,,3.04048,2.54425,2.28515,59.349998474121094,,,,,,,565.0000000000001,5.330188679245284,535,5.047169811320755,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Max Fried","NYY",9,6,12,3.374,20,20,0,0,,124,512,110,51,47,12,36,,5,116,8.4,2.58566,3.24868,0.857761,0.226197,0.0696272,0.15656936913728714,0.234206,1.17727,0.286746,0.737451,,,3.4304,2.5055,2.34167,96.06999969482422,,,,,,,592.9999999999999,4.782258064516128,573,4.620967741935484,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Cole Ragans","KCR",7,5,11,3.46137,19,19,0,0,,111,459,91,46,43,12,40,,3,132,10.6883,3.27054,3.26805,0.93253,0.287231,0.0878905,0.1993403136730194,0.220211,1.18694,0.294018,0.737993,,,3.23556,2.49854,2.27275,45.599998474121094,,,,,,,572.2,5.154954954954955,534,4.8108108108108105,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",6,4,11,3.24217,18,18,0,0,,98,388,79,38,35,12,21,,3,116,10.6474,1.98009,5.37724,1.11695,0.297976,0.0554144,0.24256176501512527,0.217629,1.02855,0.284225,0.745181,,,3.09177,2.46707,2.10792,49.810001373291016,,,,,,,532.2,5.43061224489796,494,5.040816326530612,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
