Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Fernando Tatis Jr.,Big Red Machine,SDP,556,495,138,31,90,81,20,0.278,NA,NA,NA,NA,NA,NA,NA,NA,4,4.66674881601611
Juan Soto,Erie Lakers,NYM,580,458,125,27,94,81,7,0.272,NA,NA,NA,NA,NA,NA,NA,NA,3,3.3145280544250113
Mookie Betts,Erie Lakers,LAD,568,487,136,23,90,78,13,0.279,NA,NA,NA,NA,NA,NA,NA,NA,4,3.278101573343889
Francisco Lindor,National Pastime,NYM,580,512,133,23,85,73,18,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Shohei Ohtani,Louisville Sluggers,LAD,551,473,132,34,100,91,30,0.279,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ronald Acuna Jr.,Westside Marauders,ATL,477,410,122,22,84,61,38,0.298,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kyle Tucker,Melonheads,CHC,570,488,133,26,85,83,21,0.272,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Corbin Carroll,Hoosiers,ARI,572,497,131,23,94,75,31,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Elly De La Cruz,Hoosiers,CIN,562,500,128,22,83,76,46,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
William Contreras,Melonheads,MIL,530,462,123,19,69,70,7,0.266,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jackson Merrill,Louisville Sluggers,SDP,509,472,133,20,64,73,12,0.282,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Austin Riley,National Pastime,ATL,578,519,139,27,79,82,1,0.268,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryce Harper,Blue Socks,PHI,562,477,132,25,80,81,11,0.278,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Chapman,Free At Last,SFG,574,496,118,21,72,70,9,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Patrick Bailey,NA,SFG,428,385,88,9,43,43,3,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Trea Turner,Blue Socks,PHI,562,514,142,18,79,66,22,0.277,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Michael Harris II,National Pastime,ATL,525,487,137,19,68,68,17,0.281,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Gabriel Moreno,Erie Lakers,ARI,432,382,106,8,49,47,4,0.277,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Freddie Freeman,Erie Lakers,LAD,539,467,135,20,77,76,9,0.289,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Dansby Swanson,Big Red Machine,CHC,570,512,122,17,70,66,13,0.239,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Manny Machado,Hoosiers,SDP,551,500,132,22,69,79,10,0.263,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ketel Marte,Big Red Machine,ARI,465,407,112,18,67,61,5,0.275,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nico Hoerner,Free Birds,CHC,511,464,129,7,61,50,25,0.278,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Will Smith,Westside Marauders,LAD,429,370,95,16,55,58,2,0.256,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Willy Adames,National Pastime,SFG,568,505,121,19,70,68,11,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Xander Bogaerts,Erie Lakers,SDP,545,489,129,13,62,59,12,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pete Crow-Armstrong,Melonheads,CHC,494,452,114,15,66,63,30,0.252,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nolan Arenado,Blue Socks,STL,556,504,132,18,61,73,3,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jung Hoo Lee,Blue Socks,SFG,521,473,136,10,62,60,7,0.288,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tommy Edman,Blue Socks,LAD,521,476,122,17,69,64,19,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Francisco Alvarez,Westside Marauders,NYM,342,302,73,16,43,47,2,0.243,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Masyn Winn,Westside Marauders,STL,533,484,123,13,67,57,11,0.255,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pete Alonso,Westside Marauders,NYM,568,491,121,29,75,90,3,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Oneil Cruz,Westside Marauders,PIT,521,461,114,22,71,67,23,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryson Stott,Erie Lakers,PHI,497,445,116,11,62,52,21,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Olson,Free Birds,ATL,584,503,125,28,76,88,1,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Geraldo Perdomo,Free At Last,ARI,489,416,105,8,65,48,14,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt McLain,Hoosiers,CIN,497,434,106,19,68,64,16,0.244,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brenton Doyle,Louisville Sluggers,COL,563,516,130,20,72,69,23,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
James Wood,Erie Lakers,WSN,513,447,115,20,71,63,16,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ozzie Albies,Free At Last,ATL,561,512,133,19,72,73,10,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Xavier Edwards,Louisville Sluggers,MIA,507,449,129,4,61,40,27,0.287,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Sean Murphy,Big Red Machine,ATL,343,299,69,15,40,46,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lars Nootbaar,Free Birds,STL,462,390,96,16,63,51,8,0.247,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ian Happ,Free At Last,CHC,564,487,121,18,75,64,10,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mark Vientos,National Pastime,NYM,545,491,119,25,64,77,0,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brice Turang,National Pastime,MIL,533,479,125,9,68,50,33,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brendan Donovan,National Pastime,STL,509,450,127,11,60,56,6,0.282,NA,NA,NA,NA,NA,NA,NA,NA,0,0
CJ Abrams,Melonheads,WSN,465,422,107,16,63,52,27,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jackson Chourio,Louisville Sluggers,MIL,545,502,133,20,74,73,23,0.264,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ezequiel Tovar,Erie Lakers,COL,526,493,128,17,64,63,9,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kyle Schwarber,Free At Last,PHI,568,471,106,32,82,81,5,0.225,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Teoscar Hernandez,Free Birds,LAD,551,503,132,26,70,87,8,0.263,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alec Bohm,Free Birds,PHI,533,489,134,13,61,66,4,0.275,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brandon Nimmo,Melonheads,NYM,485,420,103,14,60,55,6,0.245,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Marcell Ozuna,Big Red Machine,ATL,525,459,119,26,67,76,1,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0
TJ Friedl,Free Birds,CIN,497,439,111,13,63,55,16,0.253,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jeff McNeil,Westside Marauders,NYM,403,363,101,8,46,45,4,0.278,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ivan Herrera,National Pastime,STL,278,239,61,8,34,33,4,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Christian Yelich,Erie Lakers,MIL,485,416,107,16,66,59,19,0.257,NA,NA,NA,NA,NA,NA,NA,NA,0,0
