Name,Team,billikenTeam,contract,salary,point_value,repl,par,ev,surplus,PA,AB,H,HR,R,RBI,SB,AVG,IP,ER,WH,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_util
Chris Sale,ATL,Westside Marauders,2,13,12,3.1,8.9,34.4,21.4,NA,NA,NA,NA,NA,NA,NA,NA,182,61,198.38000000000002,14,0,224,3.03,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zack Wheeler,PHI,Melonheads,2,28,11.3,3.1,8.200000000000001,31.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,202,74,224.22000000000003,14,0,214,3.3,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shohei Ohtani,LAD,Louisville Sluggers,2,34,11.9,3.7,8.2,31.9,-2.1,651,561,160,42,119,116,36,0.285,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
Paul Skenes,PIT,Melonheads,2,7,10.8,3.1,7.700000000000001,30.1,23.1,NA,NA,NA,NA,NA,NA,NA,NA,174,58,189.66000000000003,11,0,214,3.01,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ronald Acuna Jr.,ATL,Westside Marauders,2026,46,9.7,2.3,7.3999999999999995,29.1,-16.9,553,474,139,25,101,73,39,0.293,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
Fernando Tatis Jr.,SDP,Big Red Machine,2026,31,9.3,2.3,7.000000000000001,27.6,-3.4,658,590,163,37,104,101,19,0.277,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
Dylan Cease,SDP,Louisville Sluggers,2,12,9.8,3.1,6.700000000000001,26.6,14.6,NA,NA,NA,NA,NA,NA,NA,NA,185,71,218.29999999999998,13,0,218,3.46,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edwin Diaz,NYM,Louisville Sluggers,2027,33,9.8,3.1,6.700000000000001,26.6,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,65,21,68.25,5,36,93,2.94,1.05,0,1,0,0,0,0,1,0,0,1
Corbin Burnes,ARI,Hoosiers,1,NA,9.6,3.1,6.5,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,70,219.95999999999998,13,0,188,3.33,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sonny Gray,STL,Erie Lakers,2,21,9.6,3.1,6.5,25.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,181,69,208.14999999999998,13,0,191,3.42,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Helsley,STL,Hoosiers,2027,11,9.6,3.1,6.5,25.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA,66,21,73.26,6,35,82,2.92,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
