Melonheads(74 pts),,
SLOT,PLAYER,ACQ
C,"William Contreras
MilC, DH",Draft
C,"Elias Diaz
SDC",Draft
1B,"Nathaniel Lowe
Wsh1B",Draft
2B,"Adam Frazier
Pit2B, OF",Free Agency
3B,"Noelvi Marte
Cin3B",Draft
SS,"Luisangel Acuna
NYMSS, 2B",Draft
2B/SS,"CJ Abrams
WshSS",Draft
1B/3B,"Eric Wagaman
Mia3B, 1B",Free Agency
OF,"Kyle Tucker
ChCOF",Draft
OF,"Johan Rojas
PhiOF",Draft
OF,"Pete Crow-Armstrong
ChCOF",Draft
OF,"Seiya Suzuki
ChCOF, DH",Draft
OF,"Brandon Nimmo
NYMOF",Draft
DH,"Jesse Winker
NYMOF, DH",Draft
UTIL,"Luis Arraez
SD1B, 2B, DH",Draft
P,"Zack Wheeler
PhiSP",Draft
P,"Tanner Scott
LADRP",Draft
P,"Shota Imanaga
ChCSP",Draft
P,"Paul Skenes
PitSP",Draft
P,"Jake Irvin
WshSP",Draft
P,"Adrian Morejon
SDRP",Free Agency
P,"Huascar Brazoban
NYMRP",Free Agency
P,"Yuki Matsui
SDRP",Free Agency
P,"Anthony Bender
MiaRP",Free Agency
Bench,"Luis Campusano
SDC",Draft
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Michael KopechIL60
LADRP",Draft
IL,"Blake SnellIL15
LADSP",Draft
IL,"Thairo EstradaIL60
Col2B",Draft
IL,"Ryan BrasierIL15
ChCRP",Draft
IL,"Griffin ConineIL60
MiaOF",Draft
IL,Empty,
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
National Pastime(74 pts),,
SLOT,PLAYER,ACQ
C,"Luis Torrens
NYMC",Free Agency
C,"Martin Maldonado
SDC",Free Agency
1B,"Michael Toglia
Col1B",Draft
2B,"Brice Turang
Mil2B",Draft
3B,"Mark Vientos
NYM3B",Draft
SS,"Francisco Lindor
NYMSS",Draft
2B/SS,"Willy Adames
SFSS",Draft
1B/3B,"Austin Riley
Atl3B",Draft
OF,"Nick Castellanos
PhiOF",Draft
OF,"Michael Harris II
AtlOF",Draft
OF,"Alec Burleson
StLOF, 1B, DH",Draft
OF,"Brendan Donovan
StLOF, 2B",Draft
OF,"Max Kepler
PhiOF",Draft
DH,"Justin Turner
ChC1B, DH",Free Agency
UTIL,"Jon Berti
ChC3B",Free Agency
P,"Spencer Schwellenbach
AtlSP",Draft
P,"Kyle Finnegan
WshRP",Draft
P,"Freddy Peralta
MilSP",Draft
P,"Raisel Iglesias
AtlRP",Draft
P,"Nick Pivetta
SDSP",Draft
P,"Erick Fedde
StLSP",Draft
P,"Matthew Boyd
ChCSP",Draft
P,"Tylor Megill
NYMSP",Free Agency
P,"Matthew Liberatore
StLRP, SP",Free Agency
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Tyler FitzgeraldIL10
SFSS, 2B",Draft
IL,"Ivan HerreraIL10
StLC",Draft
IL,"Nestor CortesIL60
MilSP",Draft
IL,"Tyler Stephenson
CinC",Draft
IL,"Kris BryantIL10
ColOF, 1B, DH",Draft
IL,Empty,
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
Louisville Sluggers(65.5 pts),,
SLOT,PLAYER,ACQ
C,"Willson Contreras
StLC, 1B, DH",Draft
C,"Hunter Goodman
ColOF, C, DH",Draft
1B,"Rhys Hoskins
Mil1B, DH",Draft
2B,"Luis Garcia Jr.
Wsh2B",Draft
3B,"Tyler Wade
SD3B, OF",Free Agency
SS,"Xavier Edwards
MiaSS",Draft
